"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"224",11,"Jacoby Brissett",ARI,"235.4","3366","23","0","0","0","38","168","1"
"225",11,"Kyle Williams",NE,"49.2","0","0","10","209","3","2","3","0"
"226",11,"Dontayvion Wicks",PHI,"75.8","0","0","30","332","2","1","6","0"
"227",11,"Ollie Gordon II",MIA,"54.1","0","0","7","32","1","70","199","3"
"228",11,"Aaron Rodgers",PIT,"234.1","3322","24","0","0","0","21","61","1"
"229",11,"Darnell Mooney",NYG,"82.3","0","0","32","443","1","0","0","0"
"230",11,"Ray Davis",BUF,"64.1","0","0","10","86","2","58","275","0"
"231",11,"Malik Washington",MIA,"116.7","0","0","46","317","3","17","110","1"
"232",11,"Justin Joly",DEN,"0","0","0","0","0","0","0","0","0"
"233",11,"Calvin Ridley",TEN,"47.3","0","0","17","303","0","0","0","0"
"234",11,"James Conner",ARI,"33.3","0","0","8","38","1","32","95","1"
"235",11,"Sean Tucker",TB,"91.4","0","0","8","34","1","86","320","7"
"236",11,"Mac Jones",SF,"136","2151","13","0","0","0","36","60","0"
"237",11,"Tre Tucker",LV,"161.7","0","0","57","696","5","11","51","0"
"238",11,"Seth McGowan",IND,"0","0","0","0","0","0","0","0","0"
"239",11,"Jaylen Wright",MIA,"48.2","0","0","5","44","0","70","288","2"
"240",11,"Michael Mayer",LV,"73.8","0","0","35","328","1","0","0","0"
"241",11,"Adam Randall",BAL,"0","0","0","0","0","0","0","0","0"
"242",11,"Jalen Nailor",LV,"100.7","0","0","29","444","4","2","13","0"
"243",11,"Devin Neal",NO,"60","0","0","17","104","0","57","206","2"
"244",12,"Rashod Bateman",BAL,"55.4","0","0","19","224","2","0","0","0"
"245",12,"Najee Harris",LAC,"11.6","0","0","3","25","0","15","61","0"
"246",12,"Carson Beck",ARI,"0","0","0","0","0","0","0","0","0"
"247",12,"Greg Dulcich",MIA,"62.8","0","0","26","335","1","1","-7","0"
"248",12,"Bryce Lance",NO,"0","0","0","0","0","0","0","0","0"
"249",12,"Anthony Richardson Sr.",IND,"2.2","9","0","0","0","0","4","-1","0"
"250",12,"Jaydon Blue",DAL,"20.4","0","0","1","5","0","38","129","1"
"251",12,"Christian Kirk",SF,"57.9","0","0","28","239","1","0","0","0"
"252",12,"Kaelon Black",SF,"0","0","0","0","0","0","0","0","0"
"253",12,"Justin Fields",KC,"143.7","1259","7","0","0","0","71","383","4"
"254",12,"Marvin Mims Jr.",DEN,"93","0","0","37","322","1","12","78","1"
"255",12,"Ryan Flournoy",DAL,"114","0","0","40","475","4","4","25","0"
"256",12,"J'Mari Taylor",JAC,"0","0","0","0","0","0","0","0","0"
"257",12,"Xavier Legette",CAR,"89.3","0","0","35","363","3","1","0","0"
"258",12,"Deshaun Watson",CLE,"0","0","0","0","0","0","0","0","0"
"259",12,"Cedric Tillman",CLE,"60","0","0","21","270","2","0","0","0"
"260",12,"MarShawn Lloyd",GB,"0","0","0","0","0","0","0","0","0"
"261",12,"Brashard Smith",KC,"63.3","0","0","25","172","1","44","151","0"
"262",12,"Denver Broncos",DEN,"143","0","0","0","0","0","0","0","0"
"263",12,"Evan Engram",DEN,"102.8","0","0","50","461","1","1","7","0"
"264",12,"Kirk Cousins",LV,"108.5","1721","10","0","0","0","14","7","1"
"265",12,"Kendre Miller",NO,"33.3","0","0","5","30","0","47","193","1"
"266",12,"DJ Giddens",IND,"9.6","0","0","0","0","0","26","96","0"
"267",12,"Hollywood Brown",PHI,"137.7","0","0","49","587","5","0","0","0"
"268",12,"Houston Texans",HOU,"164","0","0","0","0","0","0","0","0"
"269",12,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0","0"
"270",12,"Cooper Kupp",SEA,"117.3","0","0","47","593","2","0","0","0"
"271",12,"Philadelphia Eagles",PHI,"135","0","0","0","0","0","0","0","0"
"272",12,"Keenan Allen",LAC,"182.7","0","0","81","777","4","0","0","0"
"273",12,"Isaiah Davis",NYJ,"71.2","0","0","21","186","0","43","236","1"
"274",12,"Devaughn Vele",NO,"66.3","0","0","25","293","2","0","0","0"
"275",12,"Tez Johnson",TB,"92.6","0","0","28","322","5","8","24","0"
"276",12,"Brenen Thompson",LAC,"0","0","0","0","0","0","0","0","0"
"277",12,"DeMario Douglas",NE,"95.8","0","0","31","447","3","7","21","0"
"278",12,"Pittsburgh Steelers",PIT,"130","0","0","0","0","0","0","0","0"
"279",12,"Jake Tonges",SF,"93.3","0","0","34","293","5","0","0","0"
"280",12,"Brandon Aubrey",DAL,"187.6","0","0","0","0","0","0","0","0"
"281",12,"Colby Parkinson",LAR,"129.8","0","0","43","408","8","0","0","0"
"282",12,"Los Angeles Rams",LAR,"136","0","0","0","0","0","0","0","0"
"283",12,"Jalen Milroe",SEA,"-1.6","0","0","0","0","0","3","4","0"
"284",12,"Darnell Washington",PIT,"73.4","0","0","31","364","1","0","0","0"
"285",12,"Eli Heidenreich",PIT,"0","0","0","0","0","0","0","0","0"
"286",12,"Sam Roush",CHI,"0","0","0","0","0","0","0","0","0"
"287",12,"Cam Little",JAC,"164","0","0","0","0","0","0","0","0"
"288",12,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"289",12,"Seattle Seahawks",SEA,"179","0","0","0","0","0","0","0","0"
"290",12,"Minnesota Vikings",MIN,"136","0","0","0","0","0","0","0","0"
"291",12,"Ja'Tavion Sanders",CAR,"54","0","0","29","190","1","0","0","0"
"292",12,"Mike Gesicki",CIN,"70.7","0","0","28","307","2","0","0","0"
"293",12,"Kevin Coleman Jr.",MIA,"0","0","0","0","0","0","0","0","0"
"294",12,"Cameron Dicker",LAC,"170","0","0","0","0","0","0","0","0"
"295",12,"Drew Allar",PIT,"0","0","0","0","0","0","0","0","0"
"296",12,"Taylen Green",CLE,"0","0","0","0","0","0","0","0","0"
"297",12,"Detroit Lions",DET,"97","0","0","0","0","0","0","0","0"
"298",13,"Jalen Royals",KC,"2.4","0","0","2","4","0","0","0","0"
"299",13,"Will Reichard",MIN,"159","0","0","0","0","0","0","0","0"
"300",13,"Ben Sinnott",WAS,"28.4","0","0","11","114","1","0","0","0"
