"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Theo Wease Jr.","MIA","16.0","233.0","1.3","0.0","0.0","0.0","0.0","47.1"
"Dyami Brown","WAS","15.9","216.9","1.6","0.0","0.0","0.0","0.2","46.7"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","46.4"
"Treylon Burks","WAS","15.0","217.8","1.4","0.0","0.0","0.0","0.1","44.7"
"Joshua Palmer","BUF","16.9","205.4","1.2","0.0","0.0","0.0","0.2","44.6"
"Devontez Walker","BAL","14.5","208.8","1.5","0.0","0.0","0.0","0.2","43.8"
"Cyrus Allen","KC","16.2","203.2","1.3","0.0","0.0","0.0","0.2","43.8"
"Isaiah Williams","NYJ","18.8","185.9","0.7","2.2","12.7","0.1","0.2","43.1"
"Colbie Young","CIN","14.1","176.3","1.3","0.0","0.0","0.0","0.1","39.5"
"Bryce Lance","NO","15.1","193.2","0.9","0.0","0.0","0.0","0.2","39.5"
"Zavion Thomas","CHI","12.5","153.5","1.2","0.0","0.0","0.0","0.1","34.9"
"Jaylin Lane","WAS","12.4","159.5","1.1","0.0","0.0","0.0","0.1","34.7"
"Elijah Sarratt","BAL","11.1","165.8","1.0","0.0","0.0","0.0","0.1","33.5"
"Kevin Coleman Jr.","MIA","13.5","170.2","0.4","0.0","0.0","0.0","0.1","32.8"
"Jordan Whittington","LAR","11.3","128.2","0.9","2.3","12.1","0.1","0.1","31.2"
"Isaiah Bond","CLE","9.9","130.3","0.8","4.3","23.6","0.1","0.1","30.4"
"Konata Mumpfield","LAR","9.9","126.7","1.1","0.0","0.0","0.0","0.1","29.2"
"Roman Wilson","PIT","11.8","135.1","0.6","0.0","0.0","0.0","0.1","28.8"
"Skyler Bell","BUF","10.1","136.5","0.8","0.0","0.0","0.0","0.1","28.4"
"Mack Hollins","NE","10.8","126.6","0.8","0.0","0.0","0.0","0.1","28.0"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.5"
"Justin Watson","HOU","9.3","125.6","0.7","0.0","0.0","0.0","0.1","25.7"
"Odell Beckham Jr.","NYG","9.2","113.3","0.6","0.0","0.0","0.0","0.1","24.1"
"Kyle Williams","NE","6.4","91.4","0.6","4.1","22.4","0.2","0.1","22.1"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","21.4"
"Jimmy Horn Jr.","CAR","6.7","75.6","0.4","6.2","36.7","0.2","0.1","21.1"
"Jalen Royals","KC","6.8","78.2","0.6","0.0","0.0","0.0","0.1","18.3"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","17.8"
"Nick Westbrook-Ikhine","IND","6.1","76.6","0.6","0.0","0.0","0.0","0.1","17.2"
"Mason Tipton","NO","6.8","80.5","0.3","0.0","0.0","0.0","0.1","16.7"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","16.0"
"Greg Dortch","DET","4.1","39.7","0.3","4.6","24.0","0.4","0.1","14.1"
"Barion Brown","NO","4.6","57.3","0.3","0.0","0.0","0.0","0.1","11.8"
"Bo Melton","GB","2.9","37.4","0.3","4.5","25.9","0.1","0.1","11.5"
"Tyrell Shavers","BUF","4.0","52.1","0.3","0.0","0.0","0.0","0.0","10.9"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","10.3"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.9"
"Mitch Tinsley","CIN","3.3","41.8","0.4","0.0","0.0","0.0","0.0","9.7"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","44.0","0.2","0.1","9.1"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","8.8"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"Lewis Bond","HOU","3.3","39.7","0.2","0.0","0.0","0.0","0.0","8.3"
