"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"147","Darrynton Evans (TEN)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","3.8","1.9","0.0%"
"148","Reggie Bonnafon (CAR)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","3.6","3.6","0.0%"
"149","Trey Ragas (LV)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","3.5","3.5","0.0%"
"150","La'Mical Perine (NYJ)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"151","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","3.0","3.0","0.0%"
"152","Anthony McFarland Jr. (PIT)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","2.4","0.8","1.1%"
"153","Gary Brightwell (NYG)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","2.0","0.3","0.1%"
"153","Raheem Mostert (SF)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","0.7%"
"155","Ryan Nall (CHI)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","1.8","0.4","0.0%"
"156","Devine Ozigbo (JAC)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","1.4","0.7","1.0%"
"157","John Kelly Jr. (CLE)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"158","Jacques Patrick (SF)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"159","Mekhi Sargent (JAC)","5","11","2.2","3","0","0","1","0","0","0","0","0","5","1.1","0.2","0.0%"
"159","Buddy Howell (LAR)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"161","Khari Blasingame (TEN)","3","6","2.0","3","0","0","2","2","4","2.0","0","1","5","1.0","0.2","0.0%"
"162","Damarea Crockett (DEN)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"163","Jake Funk (LAR)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.0%"
"164","Nathan Cottrell (JAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"165","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"165","Brian Hill (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Tarik Cohen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Elijah McGuire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"165","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"165","Cethan Carter (MIA)","0","0","0","0","0","0","2","2","16","8.0","0","0","9","0.0","0.0","0.0%"
"165","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Jason Cabinda (DET)","3","23","7.7","21","1","0","7","4","16","4.0","1","0","10","0.0","0.0","1.1%"
"165","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"165","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Kirk Merritt (MIA)","0","0","0","0","0","0","3","1","13","13.0","0","0","1","0.0","0.0","0.0%"
"165","Jordan Wilkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","87.9%"
"165","LeVante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Darius Bradwell (LAC)","0","0","0","0","0","0","1","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Darwin Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Sutton Smith (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Cullen Gillaspia (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"165","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"165","Taiwan Jones (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.1%"
"165","Kenjon Barner (TB)","4","0","0.0","1","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"165","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","1.1%"
"165","Gerrid Doaks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"165","Tory Carter (TEN)","0","0","0","0","0","0","1","0","0","0","0","0","5","0.0","0.0","0.0%"
"165","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","B.J. Emmons (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"165","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Nate McCrary (BAL)","1","-1","-1.0","0","0","0","0","0","0","0","0","0","1","-0.1","-0.1","0.0%"
"196","Trenton Cannon (SF)","3","4","1.3","3","0","0","0","0","0","0","0","1","10","-1.6","-0.2","0.0%"
""
""
